true_redshift_gal,ra,dec,theta,phi
1.30988,4.633044988333453,0.1406539173217685,1.430142409473128,4.633044988333453
1.14224,2.718641761651169,1.3706575263835887,0.20013880041130783,2.718641761651169
1.13968,3.3663103481302863,1.035195662766478,0.5356006640284185,3.3663103481302863
0.89494,0.5461548477852314,0.39821017716913226,1.1725861496257644,0.5461548477852314
0.58031,3.4987430229019054,0.3362915155652842,1.2345048112296124,3.4987430229019054
0.41825,2.375741663881922,-0.061959176150355524,1.632755502945252,2.375741663881922
1.17822,5.669869684803544,-0.5363570470998151,2.107153373894712,5.669869684803544
1.01412,3.8987516550421604,-0.04098874709740295,1.6117850738922994,3.8987516550421604
1.08756,1.7219966262326334,-0.8182972096270417,2.3890935364219383,1.7219966262326334
0.76358,0.9348599909112448,0.8215300858766257,0.7492662409182709,0.9348599909112448
1.29275,4.320499381418865,0.5707531742268981,1.0000431525679985,4.320499381418865
0.66812,4.792513400785485,0.5034352028593994,1.0673611239354972,4.792513400785485
1.33788,1.8714045741962704,0.14311387564939215,1.4276824511455044,1.8714045741962704
1.35949,4.276830854564407,-0.45840310776598936,2.029199434560886,4.276830854564407
0.12329,6.210312776816747,0.9550280842066198,0.6157682425882768,6.210312776816747
0.58567,2.9405327079111463,1.2384088741162702,0.33238745267862635,2.9405327079111463
1.02555,1.4426878992532897,-0.8146247191642944,2.385421045959191,1.4426878992532897
0.93243,1.9065732611591193,-0.4448010976122979,2.0155974244071944,1.9065732611591193
0.73775,0.3395732802726134,0.38415272807167006,1.1866435987232264,0.3395732802726134
1.06887,5.5632496632798984,0.42343244956634296,1.1473638772285537,5.5632496632798984
0.62512,2.1271097304413935,-0.047377062896800326,1.6181733896916968,2.1271097304413935
0.57529,4.932021403329437,-0.3195497010235556,1.890346027818452,4.932021403329437
0.48188,5.050280546055444,0.5154623667414372,1.0553339600534595,5.050280546055444
0.48538,5.219481686699065,-0.06741228818225838,1.6382086149771549,5.219481686699065
1.06209,1.5894593419167637,0.2542498295162756,1.316546497278621,1.5894593419167637
0.33461,0.20542044861590092,0.33488237719974234,1.235913949595154,0.20542044861590092
1.40749,5.7079470361536195,0.1153724111985445,1.455423915596352,5.7079470361536195
1.08814,2.2529099585293246,-0.20634405671228456,1.777140383507181,2.2529099585293246
1.07393,5.055107992636878,-0.022272264841441146,1.5930685916363376,5.055107992636878
0.5841,6.2548253442965445,-0.3734106702080575,1.944206997002954,6.2548253442965445
0.78194,0.5507232750926417,0.1687421948299445,1.402054131964952,0.5507232750926417
0.71862,5.028559568630816,-0.5961420699832616,2.166938396778158,5.028559568630816
0.85574,2.775453518920387,1.171085775129162,0.39971055166573466,2.775453518920387
1.39126,0.7102796116720064,-0.2263436221485039,1.7971399489434003,0.7102796116720064
1.24018,4.674699098993026,-0.9140718091709716,2.4848681359658684,4.674699098993026
1.06266,5.458223921641819,0.4261311718327143,1.1446651549621822,5.458223921641819
1.26732,0.222460052461595,-1.2278846421139882,2.7986809689088847,0.222460052461595
1.1426,5.566091008985216,-0.9834722104286953,2.554268537223592,5.566091008985216
1.07832,2.551564972576715,0.002196770582496204,1.5685995562124004,2.551564972576715
0.72062,2.0627114408459604,0.0059175754548674775,1.564878751340029,2.0627114408459604
0.73502,0.136932248334412,-0.4764626357454653,2.047258962540362,0.136932248334412
1.34802,1.4987808327886174,1.2326112032726972,0.3381851235221993,1.4987808327886174
1.22765,3.4343196579935333,-0.9610178519767467,2.5318141787716435,3.4343196579935333
1.04265,0.14143343684190607,0.3080977583557691,1.2626985684391274,0.14143343684190607
0.82387,3.3985414164475305,0.22351364954593603,1.3472826772489606,3.3985414164475305
1.39983,2.4654930552419265,1.1908739880812351,0.37992233871366143,2.4654930552419265
0.94429,1.0883059394281844,0.4342786575751201,1.1365176692197765,1.0883059394281844
1.08387,1.9645429530994758,-0.3675874516918706,1.9383837784867672,1.9645429530994758
1.38677,4.26712873419386,-1.3973943777073812,2.9681907045022777,4.26712873419386
1.30183,0.8195819980497525,-0.22484049492121236,1.795636821716109,0.8195819980497525
0.95267,0.27268383871896845,1.0689306908688536,0.5018656359260429,0.27268383871896845
1.33392,3.081891679990367,0.3464599408347193,1.2243363859601772,3.081891679990367
1.1505,2.5798001782531776,-0.3996028744931638,1.9703992012880605,2.5798001782531776
